width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	MeanSize	MinSize	MaxSize
2014300	63	70	167.6	165	171
2014400	74	63	167.44444444444446	166	171
2014500	76	65	167.3230769230769	165	171
2014600	77	61	167.24590163934425	165	171
2014700	88	58	167.22413793103448	165	169
2014800	90	53	167.22641509433961	165	169
2014900	89	50	167.18	165	169
2015000	93	45	167.17777777777778	165	170
2015100	95	40	167.15	165	170
2015200	99	42	167.1904761904762	165	170
2015300	98	40	167.3	165	170
2015400	97	41	167.29268292682926	165	170
2015500	99	38	167.3421052631579	165	170
2015600	99	35	167.4	165	170
2015700	96	40	167.4	165	170
2015800	94	47	167.4468085106383	165	170
2015900	105	42	167.52380952380952	165	170
2016000	98	52	167.6346153846154	165	170
2016100	84	66	167.9848484848485	165	171
2016200	80	69	168.04347826086956	165	171
2016300	85	63	168.0952380952381	165	171
2016400	78	66	168.16666666666666	165	171
2016500	74	68	168.30882352941177	165	171
2016600	72	61	168.29508196721312	165	171
2016700	67	57	168.31578947368422	165	171
2016800	67	57	168.2982456140351	165	171
2016900	71	56	168.375	165	171
2017000	75	63	168.34920634920636	165	171
2017100	75	59	168.33898305084745	165	171
2017200	65	63	168.25396825396825	164	171
2017300	77	59	168.16949152542372	164	171
2017400	73	62	168.24193548387098	164	172
2017500	74	61	168.13114754098362	164	172
2017600	82	60	168.13333333333333	164	172
2017700	74	59	167.98305084745763	164	172
2017800	84	56	167.91071428571428	164	172
2017900	80	61	167.9016393442623	164	172
2018000	77	56	167.66071428571428	164	172
2018100	78	59	167.67796610169492	164	172
2018200	80	57	167.6315789473684	164	172
2018300	77	55	167.45454545454547	164	172
2018400	70	55	167.4909090909091	164	172
2018500	59	59	167.54237288135593	164	172
2018600	65	58	167.56896551724137	164	172
2018700	74	54	167.5185185185185	164	172
2018800	81	53	167.62264150943398	165	172
2018900	78	54	167.75925925925927	165	172
2019000	85	41	168.0487804878049	165	172
2019100	88	39	168.10256410256412	165	172
2019200	94	38	168.21052631578948	165	172
2019300	92	39	168.25641025641025	166	172
2019400	94	39	168.2051282051282	166	172
2019500	99	39	167.92307692307693	165	172
2019600	97	43	167.8372093023256	165	172
2019700	95	44	167.88636363636363	165	172
2019800	98	47	167.85106382978722	165	172
2019900	95	49	167.83673469387756	165	172
2020000	83	54	168.0185185185185	166	172
2020100	86	55	168	166	172
2020200	92	57	168.05263157894737	166	173
2020300	89	57	168.2280701754386	166	173
2020400	93	58	168.32758620689654	166	173
2020500	84	64	168.328125	166	173
2020600	74	69	168.3768115942029	166	173
2020700	66	77	168.35064935064935	166	172
2020800	69	79	168.35443037974684	166	172
2020900	64	83	168.3975903614458	166	172
2021000	60	83	168.40963855421685	166	172
2021100	53	73	168.45205479452054	166	172
2021200	53	66	168.46969696969697	166	172
2021300	50	69	168.4927536231884	166	172
2021400	52	62	168.48387096774192	166	172
2021500	54	61	168.2622950819672	166	172
2021600	58	61	168.29508196721312	166	172
2021700	55	57	168.19298245614036	166	172
2021800	59	62	168.2258064516129	166	172
2021900	63	55	168.16363636363636	166	172
2022000	57	52	168.21153846153845	166	172
2022100	57	50	168.1	166	172
2022200	46	56	168.05357142857142	166	172
2022300	47	52	168.07692307692307	166	172
2022400	59	47	168.06382978723406	166	172
2022500	64	45	168.13333333333333	166	172
2022600	70	46	168.2391304347826	166	172
2022700	77	38	168.31578947368422	166	172
2022800	77	31	168.1290322580645	166	172
2022900	80	29	168	166	172
2023000	90	26	168.26923076923077	166	173
2023100	91	30	168.53333333333333	166	174
2023200	99	29	168.3793103448276	165	174
2023300	101	29	168.31034482758622	165	174
2023400	107	34	168.2058823529412	165	174
2023500	110	38	168.23684210526315	165	174
2023600	105	47	168.2127659574468	165	174
2023700	101	52	168.40384615384616	166	174
2023800	103	60	168.83333333333334	166	174
2023900	108	60	168.9	166	174
2024000	103	63	168.96825396825398	166	174
2024100	96	68	168.88235294117646	166	173
2024200	101	74	168.97297297297297	166	173
2024300	86	76	169.01315789473685	166	173
2024400	77	78	168.83333333333334	165	173
2024500	73	81	168.93827160493828	165	173
2024600	76	84	169.0595238095238	165	173
2024700	68	78	169.10256410256412	165	173
2024800	63	73	168.91780821917808	165	173
2024900	64	72	168.76388888888889	165	173
2025000	66	64	168.796875	166	173
2025100	63	61	168.70491803278688	166	173
2025200	60	55	168.6727272727273	166	173
2025300	62	59	168.67796610169492	166	173
2025400	61	58	168.6206896551724	166	172
2025500	61	50	168.58	166	172
2025600	53	51	168.7843137254902	166	172
2025700	61	49	168.83673469387756	166	172
2025800	66	46	168.80434782608697	166	172
2025900	64	49	168.83673469387756	166	172
2026000	74	44	168.9318181818182	166	172
2026100	72	44	169.0909090909091	166	173
2026200	74	40	169.175	167	173
2026300	78	35	169.28571428571428	167	173
2026400	78	37	169.32432432432432	167	173
2026500	79	38	169.39473684210526	167	173
2026600	88	41	169.4390243902439	166	173
2026700	90	43	169.34883720930233	166	173
2026800	93	49	169.28571428571428	166	173
2026900	91	49	169.20408163265307	165	173
2027000	97	47	169.12765957446808	165	173
2027100	91	51	168.98039215686273	165	173
2027200	92	51	168.8235294117647	165	173
2027300	90	53	168.9245283018868	165	173
2027400	91	56	169.23214285714286	165	174
2027500	91	57	169.24561403508773	165	174
2027600	89	64	169.015625	165	174
2027700	88	70	168.84285714285716	165	174
2027800	77	74	168.72972972972974	165	174
2027900	76	74	168.66216216216216	165	174
2028000	76	80	168.45	165	173
2028100	65	86	168.4418604651163	165	174
2028200	66	83	168.34939759036143	164	174
2028300	59	76	168.3421052631579	164	174
2028400	61	74	168.35135135135135	164	174
2028500	64	72	168.18055555555554	164	174
2028600	58	71	168.1267605633803	164	174
2028700	56	66	168.06060606060606	163	174
2028800	55	66	167.92424242424244	163	173
2028900	54	66	168.07575757575756	163	173
2029000	57	61	168.01639344262296	163	172
2029100	55	60	168.16666666666666	163	172
2029200	51	59	168.16949152542372	163	172
2029300	53	57	168.52631578947367	165	172
2029400	61	54	168.5	165	172
2029500	62	55	168.25454545454545	164	172
2029600	62	57	168.12280701754386	164	172
2029700	65	54	168.14814814814815	164	172
2029800	80	54	168.22222222222223	164	172
2029900	79	52	168.32692307692307	164	173
2030000	85	53	168.30188679245282	164	173
2030100	84	49	168.3469387755102	164	173
2030200	88	48	168.47916666666666	164	173
2030300	87	45	168.3111111111111	164	173
2030400	89	49	168.24489795918367	164	173
2030500	86	53	168.0566037735849	163	173
2030600	85	50	168.02	163	173
2030700	84	58	168.27586206896552	163	173
2030800	80	61	168.13114754098362	163	173
2030900	74	59	168	163	173
2031000	73	56	167.96428571428572	163	173
2031100	61	61	167.98360655737704	163	173
2031200	62	64	167.953125	163	173
2031300	58	68	167.51470588235293	163	173
2031400	59	67	167.67164179104478	163	173
2031500	59	70	167.9	163	173
2031600	53	76	167.85526315789474	163	173
2031700	51	75	167.54666666666665	163	173
2031800	51	64	167.375	163	173
2031900	52	64	167.578125	163	173
2032000	54	64	167.625	163	173
2032100	54	62	167.6451612903226	163	173
2032200	52	55	167.76363636363635	163	173
