width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	Size
90900	151	76	29.55263157894737
91000	152	76	29.486842105263158
91100	146	75	29.44
91200	146	68	29.455882352941178
91300	144	65	29.553846153846155
91400	151	62	29.64516129032258
91500	151	53	29.71698113207547
91600	150	55	29.636363636363637
91700	150	51	29.96078431372549
91800	153	52	30.03846153846154
91900	155	54	30.074074074074073
92000	154	55	30.09090909090909
92100	154	54	30.203703703703702
92200	155	48	30.208333333333332
92300	157	46	30.108695652173914
92400	156	44	29.931818181818183
92500	165	41	29.853658536585368
92600	172	42	29.738095238095237
92700	176	36	29.52777777777778
92800	182	36	29.333333333333332
92900	187	35	29.314285714285713
93000	194	30	29.566666666666666
93100	201	28	29.571428571428573
93200	200	30	29.733333333333334
93300	201	31	29.70967741935484
93400	207	31	29.70967741935484
93500	216	30	29.733333333333334
93600	219	28	30
93700	220	25	29.92
93800	225	28	29.964285714285715
93900	223	32	29.875
94000	228	30	29.733333333333334
94100	238	32	29.75
94200	242	34	29.735294117647058
94300	241	35	29.714285714285715
94400	247	35	29.714285714285715
94500	250	38	29.894736842105264
94600	257	40	29.9
94700	258	46	29.869565217391305
94800	250	51	29.901960784313726
94900	251	52	29.903846153846153
95000	260	58	29.896551724137932
95100	255	63	29.77777777777778
95200	242	70	29.985714285714284
95300	228	74	29.972972972972972
95400	214	81	29.938271604938272
95500	211	87	29.96551724137931
95600	196	94	29.95744680851064
95700	177	103	29.97087378640777
95800	171	104	29.96153846153846
95900	167	99	29.97979797979798
96000	167	93	30.053763440860216
96100	175	83	30.14457831325301
96200	173	83	30.012048192771083
96300	174	75	30.013333333333332
96400	167	72	29.90277777777778
96500	159	77	29.857142857142858
96600	152	73	29.80821917808219
96700	157	73	29.71232876712329
96800	155	71	29.746478873239436
96900	168	70	29.742857142857144
97000	160	70	29.62857142857143
97100	156	63	29.666666666666668
97200	151	63	29.761904761904763
97300	153	64	29.671875
97400	157	64	29.671875
97500	159	54	29.64814814814815
97600	170	45	29.533333333333335
97700	172	44	29.454545454545453
97800	170	41	29.585365853658537
97900	171	42	29.571428571428573
98000	178	37	29.675675675675677
98100	185	38	29.657894736842106
98200	193	40	29.475
98300	197	36	29.416666666666668
98400	208	32	29.34375
98500	217	28	29.321428571428573
98600	222	29	29.344827586206897
98700	228	28	29.107142857142858
98800	231	26	29.23076923076923
98900	231	26	29.153846153846153
99000	245	25	29.04
99100	244	29	29.344827586206897
99200	249	31	29.387096774193548
99300	248	38	29.57894736842105
99400	247	44	29.65909090909091
99500	249	44	29.613636363636363
99600	252	46	29.630434782608695
99700	252	47	29.574468085106382
99800	250	48	29.770833333333332
99900	251	42	29.428571428571427
100000	254	49	29.53061224489796
100100	267	47	29.595744680851062
100200	265	45	29.755555555555556
100300	265	45	29.622222222222224
100400	259	48	29.666666666666668
100500	259	47	29.638297872340427
100600	250	55	29.527272727272727
100700	234	68	29.485294117647058
100800	233	63	29.38095238095238
100900	238	66	29.37878787878788
101000	231	68	29.352941176470587
101100	223	74	29.39189189189189
101200	209	71	29.422535211267604
101300	200	71	29.43661971830986
101400	203	77	29.467532467532468
101500	194	80	29.5125
101600	191	80	29.5125
101700	179	75	29.56
101800	182	77	29.7012987012987
101900	186	75	29.706666666666667
102000	172	75	29.69333333333333
102100	158	79	29.645569620253166
102200	153	88	29.727272727272727
102300	153	84	29.75
102400	159	79	29.72151898734177
102500	151	75	29.746666666666666
102600	138	79	29.848101265822784
102700	134	73	29.958904109589042
102800	132	71	29.887323943661972
102900	131	69	29.884057971014492
103000	128	72	29.76388888888889
103100	132	69	29.73913043478261
103200	126	59	29.661016949152543
103300	125	52	29.692307692307693
103400	128	46	29.695652173913043
103500	128	41	29.75609756097561
103600	132	40	29.95
103700	139	34	29.823529411764707
103800	142	30	29.566666666666666
103900	154	28	29.678571428571427
104000	166	24	29.625
104100	177	20	29.8
104200	182	18	29.77777777777778
104300	189	15	29.866666666666667
104400	203	15	29.866666666666667
104500	217	14	29.928571428571427
104600	228	10	29.8
104700	239	9	29.666666666666668
104800	256	7	29.142857142857142
104900	269	8	29.125
105000	277	10	29
105100	286	9	28.666666666666668
105200	294	13	28.53846153846154
105300	300	15	28.533333333333335
105400	298	18	28.555555555555557
105500	297	21	28.523809523809526
105600	302	24	28.583333333333332
105700	307	27	28.59259259259259
105800	305	31	28.548387096774192
105900	308	33	28.606060606060606
106000	308	38	28.789473684210527
106100	309	38	28.789473684210527
106200	299	45	28.844444444444445
106300	300	49	28.979591836734695
106400	293	51	28.92156862745098
106500	287	53	28.88679245283019
106600	266	66	28.833333333333332
106700	261	72	28.930555555555557
106800	256	75	28.933333333333334
106900	250	78	28.794871794871796
107000	252	82	28.79268292682927
107100	242	86	28.77906976744186
107200	224	90	28.766666666666666
107300	222	95	28.768421052631577
107400	211	94	28.74468085106383
107500	201	98	28.73469387755102
107600	191	99	28.757575757575758
107700	181	101	28.782178217821784
107800	181	107	28.757009345794394
107900	167	110	28.70909090909091
108000	171	99	28.78787878787879
108100	165	95	28.8
108200	164	92	28.815217391304348
108300	163	92	28.73913043478261
108400	155	82	28.817073170731707
108500	155	81	28.82716049382716
108600	153	72	28.84722222222222
108700	149	73	28.80821917808219
108800	149	74	28.87837837837838
108900	144	69	28.89855072463768
109000	150	70	29.014285714285716
109100	157	68	28.985294117647058
109200	152	63	28.936507936507937
109300	155	56	28.785714285714285
109400	156	47	28.638297872340427
109500	151	47	28.617021276595743
109600	143	44	28.318181818181817
109700	152	42	28.238095238095237
109800	156	42	28.214285714285715
109900	165	42	28.261904761904763
110000	164	42	28.452380952380953
110100	165	37	28.675675675675677
110200	168	36	28.75
110300	168	34	28.794117647058822
110400	169	36	28.833333333333332
110500	189	32	29.03125
110600	191	32	29.125
110700	193	30	29.266666666666666
110800	201	30	29.333333333333332
110900	207	30	29.5
111000	209	27	29.51851851851852
111100	214	30	29.333333333333332
111200	216	34	29.352941176470587
111300	210	36	29.27777777777778
111400	223	36	29.25
111500	240	35	29.2
111600	236	41	29.21951219512195
111700	231	48	29.229166666666668
111800	229	46	29.130434782608695
111900	226	49	29.06122448979592
112000	230	52	29.192307692307693
112100	227	54	29.314814814814813
112200	231	56	29.285714285714285
112300	231	55	29.272727272727273
112400	230	57	29.31578947368421
112500	228	60	29.3
112600	229	61	29.311475409836067
112700	226	66	29.28787878787879
112800	227	69	29.318840579710145
112900	223	69	29.3768115942029
113000	221	68	29.41176470588235
113100	205	79	29.40506329113924
113200	200	82	29.378048780487806
113300	193	85	29.352941176470587
113400	185	88	29.420454545454547
113500	181	90	29.38888888888889
113600	178	82	29.353658536585368
113700	166	83	29.40963855421687
113800	161	83	29.53012048192771
113900	158	80	29.5375
114000	146	80	29.475
114100	152	78	29.41025641025641
114200	153	75	29.506666666666668
114300	156	70	29.485714285714284
114400	156	71	29.450704225352112
114500	160	63	29.41269841269841
114600	158	61	29.295081967213115
114700	160	57	29.19298245614035
114800	161	56	29.142857142857142
114900	160	56	29.107142857142858
115000	160	49	29.081632653061224
115100	167	46	29.02173913043478
115200	169	36	28.833333333333332
115300	172	37	28.81081081081081
115400	169	36	28.805555555555557
115500	172	38	28.86842105263158
115600	177	39	28.974358974358974
115700	182	41	28.902439024390244
115800	191	44	29.272727272727273
115900	189	48	29.395833333333332
116000	189	41	29.414634146341463
116100	192	39	29.666666666666668
116200	190	41	29.829268292682926
116300	196	43	29.953488372093023
116400	196	43	29.953488372093023
116500	193	47	29.914893617021278
116600	194	48	29.895833333333332
116700	198	45	30.08888888888889
116800	207	42	30.11904761904762
116900	211	38	30.026315789473685
117000	211	39	29.846153846153847
117100	208	42	29.928571428571427
117200	213	41	29.634146341463413
117300	210	42	29.547619047619047
117400	214	44	29.454545454545453
117500	217	46	29.369565217391305
117600	217	44	29.59090909090909
117700	215	45	29.488888888888887
117800	218	48	29.583333333333332
117900	219	50	29.6
118000	223	49	29.571428571428573
118100	226	52	29.51923076923077
118200	218	50	29.36
118300	215	54	29.27777777777778
118400	222	58	29.189655172413794
118500	218	60	29.266666666666666
118600	213	67	29.328358208955223
118700	206	70	29.357142857142858
118800	203	71	29.338028169014084
118900	200	73	29.36986301369863
119000	195	80	29.5
119100	195	77	29.428571428571427
119200	177	77	29.51948051948052
119300	175	74	29.7027027027027
119400	178	81	29.641975308641975
119500	175	79	29.556962025316455
119600	169	83	29.518072289156628
119700	161	81	29.493827160493826
119800	158	75	29.466666666666665
119900	154	75	29.266666666666666
120000	149	72	29.291666666666668
120100	143	70	29.62857142857143
120200	145	66	29.575757575757574
120300	154	62	29.548387096774192
120400	156	57	29.736842105263158
120500	156	56	29.732142857142858
120600	157	53	29.92452830188679
120700	159	51	29.941176470588236
120800	163	44	30.113636363636363
120900	170	43	30.13953488372093
121000	168	44	30.454545454545453
121100	170	39	30.794871794871796
121200	174	35	30.914285714285715
121300	177	33	30.87878787878788
121400	182	34	30.794117647058822
121500	184	34	31.029411764705884
121600	188	34	30.970588235294116
121700	188	34	31.029411764705884
121800	191	36	31.305555555555557
121900	197	36	31.36111111111111
122000	200	36	31.13888888888889
122100	203	35	31.057142857142857
122200	201	35	30.914285714285715
122300	205	40	31.075
122400	208	39	31.17948717948718
122500	212	41	31.073170731707318
122600	204	43	31.348837209302324
122700	208	41	31.4390243902439
122800	213	41	31.29268292682927
122900	215	42	31.357142857142858
123000	215	45	31.57777777777778
123100	208	44	31.84090909090909
123200	204	46	31.956521739130434
123300	212	47	31.829787234042552
123400	206	50	32.08
123500	204	53	32.075471698113205
123600	200	59	31.71186440677966
123700	196	61	31.57377049180328
123800	192	62	31.532258064516128
123900	196	67	31.686567164179106
124000	190	70	31.771428571428572
124100	186	67	31.761194029850746
124200	186	65	31.723076923076924
124300	185	64	31.625
124400	179	64	31.671875
124500	184	61	31.57377049180328
124600	182	58	31.448275862068964
124700	178	60	31.583333333333332
124800	181	56	31.714285714285715
124900	182	53	31.754716981132077
125000	185	52	31.673076923076923
125100	191	49	31.857142857142858
125200	197	45	31.844444444444445
125300	206	42	31.69047619047619
125400	210	36	31.77777777777778
125500	212	37	31.89189189189189
125600	208	40	32.325
125700	205	39	32.41025641025641
125800	194	45	32.48888888888889
125900	194	49	32.46938775510204
126000	189	65	32.292307692307695
126100	187	67	32.223880597014926
126200	193	68	32.19117647058823
126300	199	70	32.128571428571426
126400	205	69	31.91304347826087
126500	204	65	31.876923076923077
126600	205	61	31.770491803278688
126700	197	57	31.17543859649123
126800	198	57	31.140350877192983
126900	198	56	31.232142857142858
127000	205	59	31.016949152542374
127100	211	57	30.80701754385965
127200	209	57	30.68421052631579
127300	210	54	30.444444444444443
127400	221	55	30.436363636363637
127500	217	52	30.28846153846154
127600	197	60	30.666666666666668
127700	199	59	30.694915254237287
127800	187	69	30.695652173913043
127900	175	76	30.82894736842105
128000	166	78	30.935897435897434
128100	161	81	31.11111111111111
128200	158	84	31.142857142857142
128300	149	84	31.297619047619047
128400	147	78	31.346153846153847
128500	145	72	31.291666666666668
128600	154	73	31.34246575342466
128700	150	68	30.955882352941178
128800	158	65	30.876923076923077
128900	163	62	31.048387096774192
129000	166	54	31.074074074074073
129100	167	53	31.09433962264151
129200	166	54	31.203703703703702
129300	166	52	31.403846153846153
129400	168	52	31.365384615384617
129500	172	49	31.122448979591837
129600	177	47	31.340425531914892
129700	188	39	31.615384615384617
129800	185	40	31.85
129900	187	41	32.26829268292683
130000	188	39	32.23076923076923
130100	189	43	32.395348837209305
130200	191	38	32.60526315789474
130300	194	45	32.44444444444444
130400	199	43	32.41860465116279
